,date,breakout_direction1,breakout_time1,breakout_direction2,breakout_time2,breakout_direction3,breakout_time3,breakout_direction4,breakout_time4,breakout_direction5,breakout_time5,breakout_direction6,breakout_time6,breakout_direction7,breakout_time7,breakout_direction8,breakout_time8,breakout_direction9,breakout_time9,breakout_direction10,breakout_time10,breakout_segment1,breakout_segment2,breakout_segment3,breakout_segment4,breakout_segment5,breakout_segment6,breakout_segment7,breakout_segment8,breakout_segment9,breakout_segment10
0,2008-01-02,below,2008-01-01 22:55:00,above,2008-01-02 04:40:00,,,,,,,,,,,,,,,,,adr,odr,,,,,,,,
1,2008-01-03,below,2008-01-02 20:35:00,above,2008-01-02 23:30:00,below,2008-01-03 02:55:00,above,2008-01-03 03:30:00,below,2008-01-03 09:05:00,above,2008-01-03 09:45:00,below,2008-01-03 10:25:00,above,2008-01-03 10:35:00,below,2008-01-03 11:00:00,above,2008-01-03 11:10:00,adr,adr,adr_transition,odr,rdr_transition,rdr,rdr,rdr,rdr,rdr
2,2008-01-07,above,2008-01-07 03:25:00,below,2008-01-07 09:40:00,,,,,,,,,,,,,,,,,odr,rdr,,,,,,,,
3,2008-01-08,above,2008-01-07 21:45:00,below,2008-01-08 04:50:00,above,2008-01-08 05:15:00,,,,,,,,,,,,,,,adr,odr,odr,,,,,,,
4,2008-01-09,above,2008-01-08 20:40:00,below,2008-01-09 08:25:00,above,2008-01-09 10:55:00,below,2008-01-09 13:35:00,,,,,,,,,,,,,adr,rdr_transition,rdr,rdr,,,,,,
5,2008-01-10,above,2008-01-09 21:00:00,below,2008-01-10 01:20:00,above,2008-01-10 03:40:00,below,2008-01-10 04:50:00,,,,,,,,,,,,,adr,adr,odr,odr,,,,,,
6,2008-01-14,above,2008-01-13 20:45:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
7,2008-01-15,below,2008-01-14 20:55:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
8,2008-01-16,below,2008-01-16 00:10:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
9,2008-01-17,below,2008-01-16 20:40:00,above,2008-01-17 02:20:00,below,2008-01-17 04:05:00,above,2008-01-17 05:15:00,below,2008-01-17 06:00:00,above,2008-01-17 06:20:00,below,2008-01-17 10:15:00,,,,,,,adr,adr_transition,odr,odr,odr,odr,rdr,,,
10,2008-01-21,below,2008-01-20 20:35:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
11,2008-01-22,above,2008-01-21 21:35:00,below,2008-01-22 00:45:00,above,2008-01-22 08:35:00,below,2008-01-22 08:45:00,above,2008-01-22 09:50:00,below,2008-01-22 10:00:00,above,2008-01-22 10:15:00,,,,,,,adr,adr,rdr_transition,rdr_transition,rdr,rdr,rdr,,,
12,2008-01-23,below,2008-01-22 23:00:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
13,2008-01-24,below,2008-01-23 21:05:00,above,2008-01-24 04:00:00,below,2008-01-24 04:20:00,above,2008-01-24 05:35:00,below,2008-01-24 10:25:00,above,2008-01-24 11:50:00,below,2008-01-24 12:20:00,above,2008-01-24 12:55:00,,,,,adr,odr,odr,odr,rdr,rdr,rdr,rdr,,
14,2008-01-28,below,2008-01-27 21:15:00,above,2008-01-28 12:30:00,,,,,,,,,,,,,,,,,adr,rdr,,,,,,,,
15,2008-01-29,above,2008-01-28 21:10:00,below,2008-01-28 22:35:00,above,2008-01-29 04:40:00,below,2008-01-29 09:15:00,above,2008-01-29 10:55:00,below,2008-01-29 12:15:00,above,2008-01-29 13:25:00,,,,,,,adr,adr,odr,rdr_transition,rdr,rdr,rdr,,,
16,2008-01-30,below,2008-01-29 23:50:00,above,2008-01-30 05:50:00,below,2008-01-30 07:05:00,,,,,,,,,,,,,,,adr,odr,odr,,,,,,,
17,2008-01-31,above,2008-01-31 03:15:00,below,2008-01-31 09:15:00,above,2008-01-31 13:40:00,,,,,,,,,,,,,,,odr,rdr_transition,rdr,,,,,,,
18,2008-02-04,above,2008-02-03 21:15:00,below,2008-02-04 05:40:00,above,2008-02-04 08:30:00,,,,,,,,,,,,,,,adr,odr,rdr_transition,,,,,,,
19,2008-02-05,above,2008-02-04 21:10:00,below,2008-02-05 03:00:00,,,,,,,,,,,,,,,,,adr,odr,,,,,,,,
20,2008-02-06,below,2008-02-05 21:45:00,above,2008-02-06 06:05:00,below,2008-02-06 10:25:00,,,,,,,,,,,,,,,adr,odr,rdr,,,,,,,
21,2008-02-07,above,2008-02-06 22:45:00,below,2008-02-07 07:45:00,above,2008-02-07 10:15:00,,,,,,,,,,,,,,,adr,odr,rdr,,,,,,,
22,2008-02-11,below,2008-02-10 20:55:00,above,2008-02-11 11:20:00,,,,,,,,,,,,,,,,,adr,rdr,,,,,,,,
23,2008-02-12,below,2008-02-11 21:00:00,above,2008-02-12 04:10:00,below,2008-02-12 05:25:00,above,2008-02-12 10:30:00,below,2008-02-12 11:45:00,,,,,,,,,,,adr,odr,odr,rdr,rdr,,,,,
24,2008-02-13,above,2008-02-12 20:40:00,below,2008-02-12 22:55:00,above,2008-02-13 05:15:00,below,2008-02-13 06:10:00,above,2008-02-13 06:40:00,below,2008-02-13 07:15:00,above,2008-02-13 11:20:00,below,2008-02-13 11:35:00,above,2008-02-13 12:00:00,,,adr,adr,odr,odr,odr,odr,rdr,rdr,rdr,
25,2008-02-14,below,2008-02-13 21:00:00,above,2008-02-14 00:00:00,,,,,,,,,,,,,,,,,adr,adr,,,,,,,,
26,2008-02-18,above,2008-02-17 21:35:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
27,2008-02-19,above,2008-02-18 20:35:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
28,2008-02-20,above,2008-02-19 22:20:00,below,2008-02-20 03:15:00,above,2008-02-20 12:00:00,,,,,,,,,,,,,,,adr,odr,rdr,,,,,,,
29,2008-02-21,above,2008-02-21 01:50:00,below,2008-02-21 04:45:00,,,,,,,,,,,,,,,,,adr,odr,,,,,,,,
30,2008-02-25,below,2008-02-24 20:45:00,above,2008-02-24 23:20:00,below,2008-02-25 02:05:00,,,,,,,,,,,,,,,adr,adr,adr_transition,,,,,,,
31,2008-02-26,below,2008-02-25 22:05:00,above,2008-02-26 10:45:00,,,,,,,,,,,,,,,,,adr,rdr,,,,,,,,
